An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,REGENT R C PROPERTIES LIMITED,07559066,gb,https://opencorporates.com/companies/gb/07559066
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,NG PROFESSIONAL LIMITED,08013409,gb,https://opencorporates.com/companies/gb/08013409
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,NG COMMERCIAL LIMITED,08013415,gb,https://opencorporates.com/companies/gb/08013415
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,NATTRASS GILES.COM LIMITED,06869175,gb,https://opencorporates.com/companies/gb/06869175
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,NG PROPERTY CONSULTANCY LIMITED,08017912,gb,https://opencorporates.com/companies/gb/08017912
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,NG AGENCY LIMITED,08017606,gb,https://opencorporates.com/companies/gb/08017606
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,REGENT E C PROPERTIES LIMITED,07002013,gb,https://opencorporates.com/companies/gb/07002013
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,JOHN CHIVERS COMMERCIAL LIMITED,03699589,gb,https://opencorporates.com/companies/gb/03699589
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,NATTRASS GILES (BIRMINGHAM) LIMITED,06599938,gb,https://opencorporates.com/companies/gb/06599938
An Independence from Europe,yorkshire-humber,Christopher Jonathan Booth,CHRISTOPHER JONATHAN BOOTH,director,THE JEWELLERY QUARTER ASSOCIATION LIMITED,02402191,gb,https://opencorporates.com/companies/gb/02402191
An Independence from Europe,yorkshire-humber,Kerrie Oxenham,"","","","","",""
An Independence from Europe,yorkshire-humber,Malcolm John Snelling,"","","","","",""
An Independence from Europe,yorkshire-humber,John Buchanan Martin,JOHN BUCHANAN MARTIN,secretary,DORRIDGE INSURANCE BROKERS LIMITED,04652536,gb,https://opencorporates.com/companies/gb/04652536
An Independence from Europe,yorkshire-humber,John Buchanan Martin,JOHN SHARP BUCHANAN MARTIN,director,LOTHIAN BUSES LIMITED,SC096849,gb,https://opencorporates.com/companies/gb/SC096849
An Independence from Europe,yorkshire-humber,Paul Balderson Sootheran,"","","","","",""
An Independence from Europe,yorkshire-humber,Howard Roy Blake,"","","","","",""
British National Party,yorkshire-humber,Marlene Guest,"","","","","",""
